amfi_code,max_drawdown_pct
118430,-67.57
118550,-0.71
118560,-0.77
118632,-42.47
118650,-37.53
118721,-0.92
118770,-57.3
118825,-33.43
118834,-52.46
118901,-6.22
118989,-48.65
119092,-69.18
119100,-27.21
119270,-1.2
119350,-48.94
119440,-28.6
119551,-36.56
119598,-44.39
119660,-47.02
119775,-39.45
119830,-12.17
120045,-23.27
120125,-46.43
120200,-24.57
120310,-5.22
120465,-34.27
120503,-24.87
120586,-1.1
120594,-67.36
120716,-34.39
120760,-25.24
120841,-41.17
120847,-39.36
120900,-27.36
122639,-45.15
125354,-53.11
125497,-46.61
