amfi_code,date,nav,daily_return,nav_52w_high,nav_52w_low,rolling_30d_vol
118430,2022-01-03,19.5569,,19.5569,19.5569,
118430,2022-01-04,19.1709,-0.0197372794256758,19.5569,19.1709,
118430,2022-01-05,19.3019,0.0068332733465825,19.5569,19.1709,
118430,2022-01-06,18.9182,-0.0198788720281423,19.5569,18.9182,
118430,2022-01-07,18.887,-0.0016492055269528,19.5569,18.887,
118430,2022-01-10,19.3111,0.0224545984010164,19.5569,18.887,0.2872430913337132
118430,2022-01-11,19.3052,-0.0003055237661241,19.5569,18.887,0.2572748147882234
118430,2022-01-12,19.075,-0.011924248389035,19.5569,18.887,0.2422202516255951
118430,2022-01-13,19.1231,0.0025216251638271,19.5569,18.887,0.2267498795689785
118430,2022-01-14,19.1119,-0.000585679100146,19.5569,18.887,0.2124029422240132
118430,2022-01-17,19.2602,0.0077595634133709,19.5569,18.887,0.20674047994727
118430,2022-01-18,19.7691,0.0264223632153353,19.7691,18.887,0.2372052230711981
118430,2022-01-19,19.9048,0.0068642477401601,19.9048,18.887,0.2277128235783417
118430,2022-01-20,20.5628,0.0330573530002811,20.5628,18.887,0.2583749320498801
118430,2022-01-21,20.7232,0.0078004940961347,20.7232,18.887,0.2487652739350207
118430,2022-01-24,20.4794,-0.0117645923409511,20.7232,18.887,0.2485510307992609
118430,2022-01-25,21.2398,0.0371299940427942,21.2398,18.887,0.2753190990048804
118430,2022-01-26,21.2084,-0.001478356670025,21.2398,18.887,0.2678556375548172
118430,2022-01-27,20.8613,-0.016366156805794,21.2398,18.887,0.2717819777007672
118430,2022-01-28,21.6477,0.0376965960894095,21.6477,18.887,0.2916560054242743
118430,2022-01-31,21.405,-0.0112113527072159,21.6477,18.887,0.2900220217588697
118430,2022-02-01,21.1515,-0.0118430273300631,21.6477,18.887,0.2884164173913148
118430,2022-02-02,20.9758,-0.0083067394747416,21.6477,18.887,0.2844789572743209
118430,2022-02-03,21.0418,0.0031464830900369,21.6477,18.887,0.2779390781089339
118430,2022-02-04,21.3661,0.0154121795663868,21.6477,18.887,0.27463376961626
118430,2022-02-07,20.4716,-0.0418653848854025,21.6477,18.887,0.3055056198724634
118430,2022-02-08,20.7856,0.0153383223587799,21.6477,18.887,0.3021966538893988
118430,2022-02-09,20.6119,-0.0083567469786776,21.6477,18.887,0.2981854691234041
118430,2022-02-10,20.4864,-0.0060887157418771,21.6477,18.887,0.2936451472831962
118430,2022-02-11,21.0592,0.027960012496095,21.6477,18.887,0.2984689169057507
118430,2022-02-14,21.1419,0.0039270247682723,21.6477,18.887,0.2932984360068398
118430,2022-02-15,21.3043,0.0076814288214399,21.6477,18.887,0.2856851940981865
118430,2022-02-16,21.2987,-0.0002628577329459,21.6477,18.887,0.2857447363075185
118430,2022-02-17,21.5699,0.0127331715081202,21.6477,18.887,0.2781468736718061
118430,2022-02-18,22.1394,0.0264025331596344,22.1394,18.887,0.2845403469933713
